"ensembl","symbol","direction","program_rank","baseMean","log2FoldChange","stat","pvalue","padj"
"ENSG00000117600","PLPPR4","down_in_WHO_II_vs_I",12,722.089694484535,-2.90999524507441,-7.00505314068227,2.46892107014738e-12,2.51402635892892e-09
"ENSG00000100234","TIMP3","down_in_WHO_II_vs_I",13,46409.4706465232,-1.98131702472711,-6.98004164182241,2.95092583922304e-12,2.87017520588776e-09
"ENSG00000070759","TESK2","down_in_WHO_II_vs_I",14,237.561325642321,-1.31039573187245,-6.84630441212116,7.57821339983014e-12,5.477835777283e-09
"ENSG00000165272","AQP3","down_in_WHO_II_vs_I",15,211.646055411468,-2.83877868337906,-6.84485155792785,7.65552119960231e-12,5.477835777283e-09
"ENSG00000171551","ECEL1","down_in_WHO_II_vs_I",16,1715.58850713187,-4.14227449554433,-6.81191197371002,9.63100354816898e-12,6.71002155099404e-09
"ENSG00000085563","ABCB1","down_in_WHO_II_vs_I",17,5955.57622760047,-2.54436417256755,-6.76223698356667,1.35877203881426e-11,8.99337243190187e-09
"ENSG00000207148","ENSG00000207148","down_in_WHO_II_vs_I",18,50.7949201488799,-4.22623254518685,-6.73264977184033,1.66600749120146e-11,1.07579386169655e-08
"ENSG00000122121","XPNPEP2","down_in_WHO_II_vs_I",19,295.797960096581,-3.41519860230266,-6.6374714444941,3.19109755045308e-11,1.83661538365751e-08
"ENSG00000177103","DSCAML1","down_in_WHO_II_vs_I",20,34.4027562757312,-2.8631123606233,-6.60738142611269,3.91177264856188e-11,2.20349321001438e-08
"ENSG00000011347","SYT7","down_in_WHO_II_vs_I",21,158.820486627913,-2.30711093717687,-6.5523413212631,5.66418932470501e-11,2.9991882474313e-08
"ENSG00000134240","HMGCS2","down_in_WHO_II_vs_I",22,4.33493541232518,-4.11721340002313,-6.47284354401972,9.61755258565873e-11,4.62725206964574e-08
"ENSG00000167588","GPD1","down_in_WHO_II_vs_I",23,70.2130608137238,-2.05067389339132,-6.46638297506686,1.00376494212536e-10,4.66222400750334e-08
"ENSG00000169618","PROKR1","down_in_WHO_II_vs_I",24,97.6555589881043,-3.46787999471277,-6.40827146815758,1.47178680309152e-10,6.49425926864135e-08
"ENSG00000135127","BICDL1","down_in_WHO_II_vs_I",25,237.496782405282,-2.867661788706,-6.39383182761803,1.61779356931583e-10,6.90823947542525e-08
"ENSG00000091622","PITPNM3","down_in_WHO_II_vs_I",26,379.722115882782,-1.97781893697457,-6.36974738052094,1.89339798145355e-10,7.71195562445887e-08
"ENSG00000046653","GPM6B","down_in_WHO_II_vs_I",27,521.543914007976,-2.61837247533413,-6.29292244746447,3.11544011081455e-10,1.06258575614833e-07
"ENSG00000138411","HECW2","down_in_WHO_II_vs_I",28,585.872644462951,-1.57562793788303,-6.27598876361946,3.47419273850616e-10,1.1353242621836e-07
"ENSG00000165238","WNK2","down_in_WHO_II_vs_I",29,299.275273148716,-2.3505883915684,-6.2313105335961,4.62549179853988e-10,1.42395227170167e-07
"ENSG00000109339","MAPK10","down_in_WHO_II_vs_I",30,950.805536040135,-1.02102529399407,-6.22490256879093,4.81855359790648e-10,1.44967280118834e-07
"ENSG00000186575","NF2","down_in_WHO_II_vs_I",31,1055.98992614313,-1.30797957660429,-6.19258025635717,5.91871950871393e-10,1.72789060921163e-07
"ENSG00000243910","TUBA4B","down_in_WHO_II_vs_I",32,18.9382115135532,-4.74997495704699,-6.19203823185942,5.93911408643092e-10,1.72789060921163e-07
"ENSG00000164825","DEFB1","down_in_WHO_II_vs_I",33,167.666536142822,-3.09553642355561,-6.15736286434151,7.39662431804593e-10,2.00521719663963e-07
"ENSG00000163285","GABRG1","down_in_WHO_II_vs_I",34,144.171827690785,-3.36836511632533,-6.14773679782425,7.85963115936593e-10,2.1018559085274e-07
"ENSG00000198478","SH3BGRL2","down_in_WHO_II_vs_I",35,1368.71261263037,-1.2813140398051,-6.11808140299556,9.47086868237209e-10,2.41097354197886e-07
"ENSG00000143194","MAEL","down_in_WHO_II_vs_I",36,85.2212363138125,-2.74911018182555,-6.08053214611577,1.1978433338597e-09,2.96382264148929e-07
"ENSG00000185774","KCNIP4","down_in_WHO_II_vs_I",37,716.545166476665,-3.34475598515479,-6.06317760385392,1.33458151432941e-09,3.22101893951565e-07
"ENSG00000255571","MIR9-3HG","down_in_WHO_II_vs_I",38,41.8964008422544,-2.58368874014726,-6.06273156079921,1.33828926665428e-09,3.22101893951565e-07
"ENSG00000185565","LSAMP","down_in_WHO_II_vs_I",39,137.052437115148,-3.14020499645427,-6.04083283162721,1.53320764859546e-09,3.63124500386479e-07
"ENSG00000183347","GBP6","down_in_WHO_II_vs_I",40,14.55720783737,-2.448701383315,-6.02108753377393,1.73249027395646e-09,3.95247162977625e-07
"ENSG00000160870","CYP3A7","down_in_WHO_II_vs_I",41,57.3355695760507,-3.77144545376328,-6.01402209157739,1.80975830999009e-09,4.05033020125147e-07
"ENSG00000149201","CCDC81","down_in_WHO_II_vs_I",42,54.387863552029,-1.61216528858732,-5.98415267002157,2.17519218448655e-09,4.60705704674251e-07
"ENSG00000112276","POPDC1","down_in_WHO_II_vs_I",43,271.079824736275,-1.30497016159347,-5.96616298292107,2.42897669148592e-09,4.94670445439152e-07
"ENSG00000182836","PLCXD3","down_in_WHO_II_vs_I",44,152.474197976353,-2.9377194716547,-5.91255859992614,3.36833951108811e-09,6.55711680559247e-07
"ENSG00000214491","SEC14L6","down_in_WHO_II_vs_I",45,136.786743167327,-1.6404273901236,-5.87731018224064,4.16986428106597e-09,7.829585591576e-07
"ENSG00000257262","ENSG00000257262","down_in_WHO_II_vs_I",46,12.3220460061572,-3.21091810472088,-5.85917147459753,4.6518217137006e-09,8.46669137872353e-07
"ENSG00000163873","GRIK3","down_in_WHO_II_vs_I",47,81.6198282029157,-3.09693238882038,-5.82797022117023,5.61055868248848e-09,9.83705570323725e-07
"ENSG00000154654","NCAM2","down_in_WHO_II_vs_I",48,40.7816610565934,-1.68067433562066,-5.80738766960648,6.34550961024659e-09,1.0838539802018e-06
"ENSG00000163618","CADPS","down_in_WHO_II_vs_I",49,102.515856439973,-2.84053954507559,-5.79761720281286,6.72637705714773e-09,1.1249904668985e-06
"ENSG00000172348","RCAN2","down_in_WHO_II_vs_I",50,975.024342506723,-1.3208570870253,-5.79849017437249,6.69146228778175e-09,1.1249904668985e-06
"ENSG00000150594","ADRA2A","down_in_WHO_II_vs_I",51,66.5461603946416,-2.21895320280101,-5.7912800958497,6.9851972971044e-09,1.14865278534683e-06
"ENSG00000183807","FAM162B","down_in_WHO_II_vs_I",52,158.71120468713,-2.66631949001824,-5.78266249981988,7.35274855064781e-09,1.18697571877074e-06
"ENSG00000186732","MPPED1","down_in_WHO_II_vs_I",53,527.591429715131,-1.93271806276011,-5.77386194701074,7.74749212632244e-09,1.24312032754174e-06
"ENSG00000134343","ANO3","down_in_WHO_II_vs_I",54,119.701580208602,-2.60942697806214,-5.76817272747993,8.01356509014907e-09,1.27041398659699e-06
"ENSG00000164588","HCN1","down_in_WHO_II_vs_I",55,135.62367185597,-3.29548155472974,-5.75718306554616,8.55291432624473e-09,1.33199062816076e-06
"ENSG00000185352","HS6ST3","down_in_WHO_II_vs_I",56,22.2330772147842,-3.02426519733335,-5.75589087318781,8.61860507195712e-09,1.33437175017582e-06
"ENSG00000114248","LRRC31","down_in_WHO_II_vs_I",57,109.075931631339,-1.91088229395877,-5.74829460022396,9.01480697224086e-09,1.38759892203533e-06
"ENSG00000105926","PALS2","down_in_WHO_II_vs_I",58,1307.41513279228,-1.08878989224873,-5.73421696676988,9.79638631117242e-09,1.48205330050451e-06
"ENSG00000101236","RNF24","down_in_WHO_II_vs_I",59,738.661258111804,-1.09304304986557,-5.73122829718576,9.97059610574614e-09,1.49419956810989e-06
"ENSG00000204291","COL15A1","down_in_WHO_II_vs_I",60,2225.48973053651,-1.6754775971479,-5.72995061674202,1.00459876533923e-08,1.49419956810989e-06
"ENSG00000050767","COL23A1","down_in_WHO_II_vs_I",61,723.100473432761,-2.65964137733169,-5.71943246531658,1.06880444635948e-08,1.5720332065204e-06
"ENSG00000154548","SRSF12","down_in_WHO_II_vs_I",62,411.487927970292,-1.09249190948684,-5.69711262927163,1.21853433818971e-08,1.76287959582364e-06
"ENSG00000115602","IL1RL1","down_in_WHO_II_vs_I",63,299.780963308266,-2.96112641148229,-5.68353806422885,1.31936342319439e-08,1.87322647461219e-06
"ENSG00000156804","FBXO32","down_in_WHO_II_vs_I",64,6938.37701469734,-2.02943832416344,-5.68287417716125,1.32449714471125e-08,1.87322647461219e-06
"ENSG00000123096","SSPN","down_in_WHO_II_vs_I",65,855.907845219222,-1.11391864859703,-5.6278677360158,1.82450899492436e-08,2.45197338277272e-06
"ENSG00000171303","KCNK3","down_in_WHO_II_vs_I",66,42.9204460051135,-2.40399334870723,-5.61018774861279,2.02107229358641e-08,2.68883864184423e-06
"ENSG00000081148","IMPG2","down_in_WHO_II_vs_I",67,148.36064283995,-1.63728389609282,-5.60380540010476,2.096961304838e-08,2.7483688388904e-06
"ENSG00000007001","UPP2","down_in_WHO_II_vs_I",68,7.90834829094471,-1.80693683450256,-5.60142279934333,2.12599470369724e-08,2.77269506307313e-06
"ENSG00000132429","POPDC3","down_in_WHO_II_vs_I",69,45.1891473498969,-2.70633614968598,-5.58668583410107,2.31443865682827e-08,2.93180686313533e-06
"ENSG00000089250","NOS1","down_in_WHO_II_vs_I",70,138.10212349646,-3.35115963416148,-5.5576502844104,2.73430530893811e-08,3.35142282658039e-06
"ENSG00000088826","SMOX","down_in_WHO_II_vs_I",71,1134.01382597148,-1.22101378175983,-5.55036400374587,2.85075402316339e-08,3.44193241109516e-06
"ENSG00000076864","RAP1GAP","down_in_WHO_II_vs_I",72,263.394214327408,-1.65327227089995,-5.54749230639852,2.89795908162968e-08,3.47165007629619e-06
"ENSG00000168772","CXXC4","down_in_WHO_II_vs_I",73,578.804772985079,-2.03418732302833,-5.49479547788531,3.91163476980105e-08,4.54212853203872e-06
"ENSG00000248479","LOC105377259","down_in_WHO_II_vs_I",74,4.42199105512138,-4.46275516354684,-5.48126183755193,4.22302932971327e-08,4.79848504309695e-06
